  Wavelength(um)        Flux(Jy)
       466.41875       52.445803
       466.20131       52.580879
       465.98407       52.673599
       465.76703       52.710732
       465.55019       52.700540
       465.33355       52.668998
       465.11712       52.647384
       464.90089       52.658019
       464.68485       52.705605
       464.46902       52.778285
       464.25339       52.856947
       464.03796       52.926906
       463.82273       52.985160
       463.60770       53.039527
       463.39287       53.101046
       463.17823       53.175068
       462.96380       53.256991
       462.74956       53.335448
       462.53553       53.401596
       462.32169       53.456909
       462.10804       53.515383
       461.89460       53.597116
       461.68135       53.716311
       461.46830       53.870523
       461.25545       54.037854
       461.04279       54.184723
       460.83033       54.280955
       460.61806       54.314594
       460.40599       54.298586
       460.19411       54.265522
       459.98243       54.252887
       459.77095       54.286248
       459.55965       54.368823
       459.34856       54.482375
       459.13765       54.598346
       458.92694       54.692788
       458.71643       54.756976
       458.50610       54.800642
       458.29597       54.842729
       458.08603       54.899923
       457.87629       54.977707
       457.66673       55.068851
       457.45737       55.159578
       457.24820       55.239156
       457.03922       55.306929
       456.83043       55.372719
       456.62183       55.450633
       456.41342       55.550225
       456.20520       55.670367
       455.99718       55.799427
       455.78934       55.921570
       455.58169       56.025505
       455.37423       56.110758
       455.16696       56.188114
       454.95988       56.274248
       454.75298       56.383575
       454.54628       56.521237
       454.33976       56.680719
       454.13343       56.845891
       453.92728       56.995867
       453.72133       57.110130
       453.51556       57.172341
       453.30998       57.172841
       453.10458       57.110675
       452.89937       56.995522
       452.69434       56.848523
       452.48951       56.700107
       452.28485       56.583565
       452.08038       56.525326
       451.87610       56.535567
       451.67200       56.603918
       451.46808       56.703470
       451.26435       56.802457
       451.06081       56.878628
       450.85744       56.929261
       450.65426       56.970800
       450.45126       57.028769
       450.24845       57.121974
       450.04582       57.250039
       449.84337       57.391496
       449.64110       57.514184
       449.43901       57.592815
       449.23711       57.624176
       449.03539       57.631169
       448.83385       57.652669
       448.63248       57.724022
       448.43130       57.858453
       448.23030       58.039609
       448.02948       58.229630
       447.82884       58.388689
       447.62838       58.495488
       447.42810       58.557523
       447.22800       58.605533
       447.02808       58.675366
       446.82833       58.786755
       446.62877       58.932544
       446.42938       59.082867
       446.23017       59.202539
       446.03114       59.271569
       445.83228       59.296917
       445.63360       59.308680
       445.43510       59.342878
       445.23678       59.420782
       445.03863       59.536799
       444.84066       59.662001
       444.64287       59.761300
       444.44525       59.814310
       444.24780       59.827680
