  Wavelength(um)          Flux(Jy)         Error(Jy)
         63.0624           94.3321           1.55107
         63.0821           92.3748           1.13560
         63.1018           94.6120           1.22833
         63.1215           98.8823           1.33245
         63.1412           110.403          0.966552
         63.1609           125.260          0.784327
         63.1806           152.372          0.972486
         63.2003           131.201          0.700132
         63.2199           105.045           1.19369
         63.2396           95.5840           1.49447
         63.2593           94.9999           1.10301
         63.2790           96.4437           1.23053
         63.2987           95.2917           1.62510
         63.3184           97.6551           1.58136
         63.3381           96.2289          0.982902
         63.3578           96.4511           1.91001
         63.3775           93.6940           1.89012
         63.3972           95.0769           1.54322
         63.4169           94.9675           1.47417
         63.4365           96.0859           2.40528
         63.4562           95.8639           1.28099
         63.4759           96.4530           1.58049
         63.4956           96.1206           1.58977
         63.5153           95.8100           1.59580
         63.5350           97.2776           1.37836
         63.5547           96.5848           1.51048
         63.5744           97.9797           1.72580
         63.5941           97.1546           1.27405
         63.6138           95.8390           1.60652
         63.6335           96.6928           1.84541
         63.6532           98.9767           1.88755
         63.6729           98.4104           1.28721
         63.6926           97.8320           1.89070
         63.7123           98.1239           1.60487
         63.7320           99.2242           1.31392
         63.7517           99.4024           1.99635
         63.7714           99.1569           1.54251
         63.7911           101.806           1.25741
         63.8107           100.604           1.46822
         63.8304           99.7129           1.62032
         63.8501           101.263           1.20075
         63.8698           99.9547           1.47020
         63.8895           100.870           1.91805
         63.9092           101.178           1.50583
         63.9289           101.691           1.34075
         63.9486           101.601           1.96517
         63.9683           101.895           2.31858
         63.9880           101.482           1.38710
         64.0077           99.9107           1.21675
         64.0274           102.528           2.12537
         64.0471           99.8467           1.84758
         64.0668           101.868           1.32878
         64.0865           103.641           1.73296
         64.1062           104.385           1.46471
         64.1259           104.909           1.65066
         64.1456           102.761           1.81883
         64.1653           101.809           1.58596
         64.1850           101.995           1.67707
         64.2047           103.951           1.88297
         64.2244           102.695           1.92782
         64.2441           103.253           1.83319
         64.2638           101.519           1.12960
         64.2835           102.837           1.67737
         64.3032           106.105           1.98465
         64.3229           102.697           1.54116
         64.3426           104.590           1.77374
         64.3623           104.973           1.55682
         64.3820           103.820           1.08737
         64.4017           104.832           1.70624
         64.4214           103.050           1.67267
         64.4411           105.363           1.84715
         64.4608           103.516           1.84409
         64.4805           103.819           1.65178
         64.5002           103.062           1.81225
         64.5199           104.081           1.41679
         64.5396           104.770           1.71500
         64.5593           104.413           2.21243
