       Wave (um)         Flux (Jy)  Uncertainty (Jy)
         69.3075           130.600           2.23447
         69.3272           130.769           2.53583
         69.3469           130.915           1.67609
         69.3666           131.064           2.16993
         69.3863           131.196           1.44464
         69.4060           131.338           2.23581
         69.4257           131.479           2.32011
         69.4453           131.613           2.47220
         69.4650           131.742           1.97270
         69.4847           131.834           1.56051
         69.5044           131.883           2.41873
         69.5241           131.922           2.01168
         69.5438           131.953           1.88184
         69.5635           131.980           1.58235
         69.5831           132.007           2.00717
         69.6028           132.048           1.88382
         69.6225           132.064           2.16531
         69.6422           132.059           2.25787
         69.6619           132.020           1.60237
         69.6815           131.937           2.40686
         69.7012           131.890           2.08702
         69.7209           131.859           2.08328
         69.7406           131.835           1.79704
         69.7603           131.847           1.61862
         69.7800           131.869           2.51378
         69.7996           131.879           1.84727
         69.8193           131.897           1.81471
         69.8390           131.902           1.94613
         69.8587           131.931           2.11778
         69.8784           131.984           1.75231
         69.8980           132.081           1.92374
         69.9177           132.185           1.75984
         69.9374           132.308           1.60871
         69.9571           132.397           1.92724
         69.9768           132.443           1.81347
         69.9964           132.490           1.76435
         70.0161           132.536           2.17841
         70.0358           132.565           2.08288
         70.0555           132.630           1.78269
         70.0751           132.664           2.02825
         70.0948           132.706           1.65005
         70.1145           132.713           2.10349
         70.1342           132.685           2.25101
         70.1538           132.632           2.11237
         70.1735           132.599           2.05973
         70.1932           132.590           2.06285
         70.2129           132.598           1.59876
         70.2325           132.616           2.32675
         70.2522           132.639           2.40307
         70.2719           132.651           1.99692
         70.2916           132.695           2.08896
         70.3112           132.715           2.44675
         70.3309           132.763           1.76596
         70.3506           132.848           1.82032
         70.3702           132.953           1.86546
         70.3899           133.083           1.74868
         70.4096           133.219           2.01381
         70.4293           133.331           2.51067
         70.4489           133.449           2.09636
         70.4686           133.573           2.06846
         70.4883           133.690           1.69168
         70.5079           133.813           1.72831
         70.5276           133.948           1.68945
         70.5473           134.069           2.18463
         70.5669           134.196           2.24971
         70.5866           134.318           1.78828
         70.6063           134.409           2.46002
         70.6259           134.511           1.63250
         70.6456           134.633           1.96669
         70.6653           134.766           2.10366
         70.6849           134.922           1.93891
         70.7046           135.091           1.72158
         70.7243           135.256           2.06189
         70.7439           135.450           1.85828
         70.7636           135.663           2.32561
         70.7833           135.870           2.09402
         70.8029           136.113           1.55189
         70.8226           136.364           1.62182
         70.8422           136.629           2.14553
         70.8619           136.901           1.74653
         70.8816           137.158           2.06852
         70.9012           137.403           1.67118
         70.9209           137.648           1.94361
         70.9406           137.899           2.36997
         70.9602           138.150           2.17036
         70.9799           138.411           1.82779
         70.9995           138.684           1.90930
         71.0192           138.946           2.19699
         71.0389           139.224           2.00084
         71.0585           139.473           2.13812
         71.0782           139.729           2.36513
         71.0978           139.976           2.37327
         71.1175           140.219           2.19871
         71.1371           140.463           2.89688
         71.1568           140.695           2.09528
         71.1765           140.902           2.19833
         71.1961           141.083           2.34075
         71.2158           141.218           2.49416
         71.2354           141.322           2.95251
         71.2551           141.384           3.28594
         71.2747           141.444           2.47743
         71.2944           141.483           2.25488
         71.3140           141.531           3.03737
         71.3337           141.551           2.70250
         71.3533           141.565           2.00880
         71.3730           141.582           1.82661
         71.3926           141.591           2.72139
         71.4123           141.603           2.40984
         71.4319           141.635           2.67784
         71.4516           141.678           2.60723
         71.4712           141.761           1.74054
