       Wave (um)         Flux (Jy)
         241.139           1.04148
         241.197           1.35916
         241.255           1.50839
         241.313           1.46954
         241.371           1.24869
         241.430          0.916321
         241.488          0.568788
         241.546          0.286948
         241.605          0.107521
         241.663         0.0161926
         241.721        -0.0366100
         241.780         -0.107407
         241.838         -0.233764
         241.897         -0.422240
         241.955         -0.652816
         242.014         -0.893350
         242.073          -1.11349
         242.131          -1.29102
         242.190          -1.40951
         242.249          -1.45268
         242.307          -1.40273
         242.366          -1.24618
         242.425         -0.984320
         242.483         -0.639363
         242.542         -0.247345
         242.601          0.126156
         242.660          0.431387
         242.719          0.643145
         242.778          0.762431
         242.837          0.807728
         242.896          0.799778
         242.955          0.748892
         243.014          0.653111
         243.073          0.507299
         243.132          0.316692
         243.191          0.105035
         243.250        -0.0892370
         243.309         -0.228537
         243.369         -0.294255
         243.428         -0.296167
         243.487         -0.266402
         243.546         -0.239611
         243.606         -0.230450
         243.665         -0.222007
         243.725         -0.177198
         243.784        -0.0744271
         243.843          0.110414
         243.903          0.339488
         243.962          0.530732
         244.022          0.592773
         244.081          0.466658
         244.141          0.157652
         244.201         -0.258976
         244.260         -0.662274
         244.320         -0.929623
         244.380         -0.980406
         244.439         -0.800892
         244.499         -0.441271
         244.559         0.0106362
         244.619          0.463585
         244.679          0.849154
         244.739           1.13028
         244.798           1.29398
         244.858           1.33805
         244.918           1.26327
         244.978           1.07080
         245.038          0.756294
         245.098          0.391960
         245.159         0.0476560
         245.219         -0.210868
         245.279         -0.341176
         245.339         -0.342984
         245.399         -0.260038
         245.459         -0.162926
         245.520         -0.119891
         245.580         -0.169482
         245.640         -0.308081
         245.701         -0.496663
         245.761         -0.681921
         245.821         -0.819057
         245.882         -0.884600
         245.942         -0.874718
         246.003         -0.792928
         246.063         -0.637864
         246.124         -0.400430
         246.185        -0.0731999
         246.245          0.327880
         246.306          0.733730
         246.367           1.11273
         246.427           1.40021
         246.488           1.54102
         246.549           1.51398
         246.610           1.33462
         246.670           1.04162
         246.731          0.675782
         246.792          0.264595
         246.853         -0.178339
         246.914         -0.638498
         246.975          -1.08318
         247.036          -1.45286
         247.097          -1.67234
         247.158          -1.67834
         247.219          -1.45012
         247.280          -1.02690
         247.342         -0.500639
         247.403         0.0133175
         247.464          0.415035
         247.525          0.644894
         247.586          0.677909
         247.648          0.584982
         247.709          0.430660
         247.771          0.262872
         247.832          0.104323
         247.893        -0.0443699
         247.955         -0.189784
         248.016         -0.329945
         248.078         -0.447299
         248.139         -0.514445
         248.201         -0.508044
         248.263         -0.422366
         248.324         -0.273886
         248.386        -0.0948698
         248.448         0.0803434
         248.509          0.227899
         248.571          0.339384
         248.633          0.417218
         248.695          0.465573
         248.757          0.483687
         248.819          0.464358
         248.880          0.393862
         248.942          0.301134
         249.004          0.220812
         249.066          0.192666
         249.129          0.246663
         249.191          0.384718
         249.253          0.572981
         249.315          0.750474
         249.377          0.851974
         249.439          0.834807
         249.501          0.697141
         249.564          0.478608
         249.626          0.242965
         249.688         0.0513048
         249.751        -0.0612238
         249.813        -0.0953124
         249.876        -0.0807894
         249.938        -0.0588661
         250.000        -0.0633639
         250.063         -0.110145
         250.126         -0.197269
         250.188         -0.312858
         250.251         -0.444454
         250.313         -0.581219
         250.376         -0.711184
         250.439         -0.816337
         250.501         -0.872083
         250.564         -0.853906
         250.627         -0.749756
         250.690         -0.571259
         250.753         -0.356242
         250.816         -0.158881
         250.879        -0.0307561
         250.941      -0.000951102
         251.004        -0.0651218
         251.067         -0.188212
         251.131         -0.319653
         251.194         -0.412984
         251.257         -0.440468
         251.320         -0.396987
         251.383         -0.293704
         251.446         -0.145562
         251.510         0.0417101
         251.573          0.247734
         251.636          0.457069
         251.699          0.649164
         251.763          0.797342
         251.826          0.877321
         251.890          0.878976
         251.953          0.814150
         252.017          0.714245
         252.080          0.616538
         252.144          0.545820
         252.207          0.500737
         252.271          0.453388
         252.335          0.363429
         252.398          0.200525
         252.462        -0.0366225
         252.526         -0.314656
         252.589         -0.576895
         252.653         -0.766144
         252.717         -0.847793
         252.781         -0.819347
         252.845         -0.698256
         252.909         -0.545182
         252.973         -0.405015
         253.037         -0.302352
