       Wave (um)         Flux (Jy)  Uncertainty (Jy)
         64.8155         -0.257716           2.08546
         64.8352         -0.774597           1.82606
         64.8549         -0.525501           1.54387
         64.8746        -0.0665404           1.86263
         64.8943          -1.34563           1.81923
         64.9140          0.805158           1.98035
         64.9337           1.10208           1.43320
         64.9534          0.682145           1.92273
         64.9731          -1.56069           2.31841
         64.9928         -0.199534           1.51880
         65.0125          -1.55160           2.09993
         65.0322         -0.520685           1.97420
         65.0519          0.467501           2.02659
         65.0716          0.367451           1.98014
         65.0913         -0.529623           2.34939
         65.1110         -0.934507           2.10677
         65.1307           2.50894           1.76663
         65.1504          0.882990           2.33420
         65.1701         -0.174911           2.21315
         65.1898           1.13139           1.98968
         65.2095         -0.225851           1.98641
         65.2292          -1.01492           2.42710
         65.2489          -1.08279           2.56672
         65.2687           1.27232           2.11919
         65.2884           1.31358           2.38759
         65.3081          0.300295           1.52293
         65.3278         -0.807416           2.24819
         65.3475          -1.69249           2.33406
         65.3672         -0.882216           2.39392
         65.3869         -0.375699           2.35300
         65.4066         -0.181654           2.24786
         65.4263         -0.266366           2.87449
         65.4460          0.581777           2.38589
         65.4657           1.10895           2.01413
         65.4854          0.431003           2.56933
         65.5051          0.297873           2.22027
         65.5248         -0.800981           2.27624
         65.5445          -1.59927           2.97871
         65.5642         -0.129760           2.64387
         65.5839        -0.0883380           1.99483
         65.6037          -1.09190           2.22171
         65.6234          0.422762           2.57067
         65.6431           1.08735           2.20649
         65.6628          0.943919           1.90715
         65.6825         -0.325795           2.30276
         65.7022           1.25003           1.89761
         65.7219           2.59808           2.38729
         65.7416         -0.461406           1.98973
         65.7613          -1.27914           2.27374
         65.7810          0.633142           2.42609
         65.8007          0.410971           2.05292
         65.8204          -2.07855           2.46000
         65.8401          0.163320           2.20063
         65.8598          -1.17292           2.06537
         65.8795          -1.78767           2.59495
         65.8992          0.918375           1.95413
         65.9190         0.0344259           2.14449
         65.9387          0.509414           2.13017
         65.9584          0.406720           1.84018
         65.9781          0.857007           2.50061
         65.9978          -1.03199           2.02310
         66.0175         -0.534942           1.99793
         66.0372          0.620119           2.31136
         66.0569          0.109126           2.19027
         66.0766         -0.806272           1.89344
         66.0963          0.227300           2.27338
         66.1160           2.41813           1.79804
         66.1357         -0.424460           1.90368
         66.1554          0.812572           2.15261
         66.1751           1.45670           1.77599
         66.1949          -2.21547           1.76073
         66.2146         -0.749243           1.98444
         66.2343          0.732501           1.80969
         66.2540         -0.312376           2.09192
         66.2737         -0.616711           1.62141
         66.2934         -0.510885           2.29458
         66.3131           1.04177           1.86714
         66.3328          0.467040           1.76317
         66.3525         -0.841713           1.74482
         66.3722           1.89058           1.80382
         66.3919          -1.29042           1.80652
         66.4116         -0.532617           1.88366
         66.4313           2.16603           2.29713
         66.4510          -1.37484           1.75314
         66.4707          0.659743           1.67614
         66.4905           1.13449           2.16166
         66.5102          -1.55450           2.35185
         66.5299          -1.96446           1.91570
         66.5496         -0.553712           1.77134
         66.5693           3.25815           1.68769
         66.5890         -0.213937           2.41068
         66.6087        -0.0944917           1.95460
         66.6284         -0.171598           2.13273
         66.6481       -0.00575471           2.35005
         66.6678         -0.185933           2.02933
         66.6875          -1.72888           1.49887
         66.7072          0.358149           2.00957
         66.7269         -0.452778           2.08859
         66.7466          0.197151           2.41457
         66.7663          0.743839           2.34378
         66.7861         -0.282576           2.69664
         66.8058          0.941064           2.47548
         66.8255          0.299473           2.38903
         66.8452          -2.80971           2.15347
         66.8649          0.211157           1.76685
         66.8846          0.202033           1.95863
         66.9043         -0.322417           2.71295
         66.9240           1.11580           2.00833
         66.9437          0.166341           2.36628
         66.9634         -0.504675           1.92920
         66.9831           1.20439           2.31538
         67.0028          -1.04296           2.16861
         67.0225           1.77728           2.10111
         67.0422        -0.0825059           2.41836
         67.0619         -0.916848           1.60958
         67.0816           1.84328           2.34396
         67.1013          -1.19012           1.92017
         67.1211          0.519368           2.22372
         67.1408         -0.605250           2.79626
         67.1605         -0.690288           2.23968
         67.1802         -0.736349           1.58728
         67.1999         -0.610885           2.22040
         67.2196          -1.80265           2.84079
         67.2393          0.180298           1.82461
         67.2590          -1.12054           1.79621
         67.2787          0.401608           2.61553
         67.2984         -0.274256           1.88887
         67.3181         -0.209659           1.92968
         67.3378           2.20656           2.07301
         67.3575           1.71415           1.85695
         67.3772           1.32915           1.89088
         67.3969        -0.0716504           2.16582
         67.4166           1.08191           2.32655
         67.4363          0.205936           1.79942
         67.4560          -1.76376           2.08340
         67.4757           1.84908           2.16349
         67.4954          -1.31462           1.71658
         67.5151          -1.21190           1.62944
         67.5348         0.0553015           2.25521
         67.5545         -0.274423           2.43808
         67.5743         -0.345768           2.05144
         67.5940          -1.14558           2.58356
         67.6137          0.516974           2.06046
         67.6334          0.760642           2.05187
         67.6531        0.00348653           2.17300
         67.6728         -0.923784           2.22815
         67.6925          -1.13040           1.69366
         67.7122           1.12404           2.02651
         67.7319           1.13060           2.00237
         67.7516          -1.16380           2.08463
         67.7713           1.72254           2.38626
         67.7910         -0.174877           2.23148
         67.8107          0.366886           2.08970
         67.8304          -1.12268           1.91395
         67.8501           1.94022           1.78664
         67.8698          0.136671           2.07202
         67.8895          -1.41867           2.34690
         67.9092           1.14990           2.24154
         67.9289         -0.880364           2.36473
         67.9486         -0.323970           1.64216
         67.9683         0.0105664           2.15129
         67.9880         -0.745737           2.39694
         68.0077         -0.585570           1.78869
         68.0274          0.804650           2.15735
         68.0471           1.91905           2.45331
         68.0668         -0.840277           2.34666
         68.0865          0.776040           2.30270
         68.1062         -0.860055           2.05600
