    Model#             age              Cs          Omega0           tstar       R_env_max       theta_cav  rho_cav_center    rho_cav_edge           rstar      M_disk_dot          M_disk            beta            h100         rho_cav           d_sub       M_env_dot           R_inf           R_cen           mstar      percentile        absolute        relative      view_angle      total_mass 
   Model37    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    3.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.039438e-01 
   Model38    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    4.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.039519e-01 
   Model39    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    6.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.039680e-01 
   Model40    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    7.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.039761e-01 
   Model41    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    8.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.039842e-01 
   Model42    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    9.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.039923e-01 
   Model43    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    1.000000e-18    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.040003e-01 
   Model44    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    3.400000e+01    2.039600e-01 
   Model45    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    3.600000e+01    2.039600e-01 
   Model46    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    3.800000e+01    2.039600e-01 
   Model47    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.200000e+01    2.039600e-01 
   Model48    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.400000e+01    2.039600e-01 
   Model49    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.600000e+01    2.039600e-01 
   Model50    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    3.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.039424e-01 
   Model51    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    3.500000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.039505e-01 
   Model52    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.500000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.039706e-01 
   Model53    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    5.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.039825e-01 
   Model54    5.000000e+03    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    5.270124e+02    4.850129e-02    1.448036e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.129331e-01 
   Model55    6.000000e+03    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    6.324149e+02    8.381024e-02    1.737644e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.046714e-01 
   Model56    7.000000e+03    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    7.378174e+02    1.330876e-01    2.027251e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.027522e-01 
   Model57    8.000000e+03    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    8.432198e+02    1.986613e-01    2.316858e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.033211e-01 
   Model58    9.000000e+03    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    9.486223e+02    2.828596e-01    2.606466e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.033552e-01 
   Model59    1.100000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.159427e+03    5.164418e-01    3.185680e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.035896e-01 
   Model60    1.200000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.264830e+03    6.704819e-01    3.475287e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.039651e-01 
   Model61    1.300000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.370232e+03    8.524588e-01    3.764895e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.042683e-01 
   Model62    1.400000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.475635e+03    1.064700e+00    4.054502e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.037611e-01 
   Model63    1.500000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.581037e+03    1.309535e+00    4.344109e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.039622e-01 
   Model64    4.000000e+03    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    4.216099e+02    2.483266e-02    1.158429e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    1.999400e-01 
   Model65    3.000000e+03    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    3.162074e+02    1.047628e-02    8.688219e-02    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.000127e-01 
   Model66    2.000000e+03    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    2.108050e+02    3.104083e-03    5.792146e-02    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    1.952782e-01 
   Model67    1.000000e+03    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+02    3.880104e-04    2.896073e-02    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    1.899668e-01 
   Model68    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    2.500000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.039354e-01 
